,Timestamp,Submission Pin,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,team,pin,datetime,score
13,2024/03/27 6:26:05 PM EST,54878528,7368787.0,24.0,73.0,11.0,624.0,34.0,206.0,1998.0,78.0,4.0,6,54878528,2024-03-27 18:26:05,9
14,2024/03/27 6:26:22 PM EST,47716432,7368787.0,24.0,73.0,11.0,624.0,34.0,206.0,1998.0,78.0,4.0,8,47716432,2024-03-27 18:26:22,9
12,2024/03/27 6:34:26 PM EST,37972877,7368787.0,24.0,73.0,11.0,624.0,34.0,206.0,1998.0,78.0,4.0,10,37972877,2024-03-27 18:34:26,9
6,2024/03/27 6:47:40 PM EST,19785474,7368787.0,24.0,73.0,11.0,624.0,34.0,206.0,1998.0,28.0,4.0,9,19785474,2024-03-27 18:47:40,9
10,2024/03/27 6:29:39 PM EST,49287537,7368787.0,215.0,73.0,11.0,624.0,34.0,206.0,1998.0,78.0,4.0,4,49287537,2024-03-27 18:29:39,8
15,2024/03/27 6:30:11 PM EST,78915672,7368787.0,24.0,73.0,11.0,624.0,34.0,206.0,1998.0,78.0,100.0,3,78915672,2024-03-27 18:30:11,8
22,2024/03/27 6:49:38 PM EST,21886983,7368787.0,24.0,73.0,11.0,624.0,,206.0,1998.0,,,2,21886983,2024-03-27 18:49:38,7
16,2024/03/27 6:38:58 PM EST,63343996,7368791.0,24.0,73.0,11.0,624.0,3.0,206.0,1998.0,78.0,100.0,5,63343996,2024-03-27 18:38:58,6
19,2024/03/27 6:49:29 PM EST,22785329,7368787.0,10.0,73.0,11.0,1248.0,34.0,206.0,1998.0,78.0,100.0,1,22785329,2024-03-27 18:49:29,6
23,2024/03/27 6:50:12 PM EST,36255951,7368787.0,23.0,73.0,,,,,1998.0,,,11,36255951,2024-03-27 18:50:12,3
21,2024/03/27 6:47:59 PM EST,66219227,7368787.0,204.0,73.0,,,,,,78.0,,7,66219227,2024-03-27 18:47:59,2
